dataset,method,n_stacks,failure_count,absolute_peak_localization_error_mean,absolute_peak_localization_error_std,fwhm_mean,fwhm_std,curvature_at_peak_mean,curvature_at_peak_std,steep_slope_width_mean,steep_slope_width_std,steep_to_gradual_slope_ratio_mean,steep_to_gradual_slope_ratio_std,false_maxima_count_mean,false_maxima_count_std,noise_level_mean,noise_level_std,rrmse_under_additive_noise_mean,rrmse_under_additive_noise_std,range_around_global_maximum_mean,range_around_global_maximum_std,execution_time_per_slice_mean,execution_time_per_slice_std
BMA,best_fixed_single,38,0,4.868421052631579,2.77366423642064,11.31578947368421,2.3963268290173074,0.6746798770554908,0.4427837464021386,3.4473684210526314,1.6653965612943937,1.8970945186375818,1.2135517257973312,3.1842105263157894,1.0725096774902543,0.3554783116665359,0.21364194767264633,0.011243838869401645,0.019783570391552385,1.0263157894736843,0.16007269816574263,0.10903496094550445,0.016895459391865195
BMA,conventional_clahe_unsharp,38,0,4.0,2.955814964652415,12.894736842105264,1.2729880655208239,0.13886122837594167,0.23212627246091075,5.657894736842105,4.479639998396686,2.0173700353148614,2.1380911567181866,0.631578947368421,0.5813347903782768,0.10028949842900847,0.044171281095204684,0.05976657912340083,0.18335968515555257,2.4210526315789473,1.4802485379394985,0.13379986737495905,0.019661581183701066
BMA,generalized_gp_workflow,38,0,4.868421052631579,2.77366423642064,11.31578947368421,2.3963268290173074,0.6746798770554908,0.4427837464021386,3.4473684210526314,1.6653965612943937,1.8970945186375818,1.2135517257973312,3.1842105263157894,1.0725096774902543,0.3554783116665359,0.21364194767264633,0.011243838869401645,0.019783570391552385,1.0263157894736843,0.16007269816574263,0.3595275316235112,0.02597462570871852
BMA,identity,38,0,4.157894736842105,2.690395351396223,12.921052631578947,1.264527765971996,0.1649769530709733,0.2891693489999845,5.421052631578948,4.771800823849741,2.2809265279407653,2.067030270482195,0.5526315789473685,0.5475961064917055,0.10290806084144422,0.04754596795468745,0.08818563955887257,0.14961257184508758,1.8157894736842106,0.9135028925110412,0.05815960187180478,0.005734908295296753
BMA,oracle_single_exploratory,38,0,4.157894736842105,2.690395351396223,12.947368421052632,1.2554589938817433,0.16216955428441557,0.28585444811327027,5.421052631578948,4.771800823849741,2.26423656000341,2.061524707494311,0.5526315789473685,0.5475961064917055,0.10284246449263508,0.048003629981580885,0.07381953900157913,0.12445779069207379,1.8157894736842106,0.9135028925110412,0.10075960842948546,0.013271404059024203
PBS,best_fixed_single,77,0,5.181818181818182,3.2100785794778717,11.376623376623376,2.865101077244947,0.21835044818073446,0.3271755000468341,5.792207792207792,3.9091556278889907,3.3123292982547605,2.683505398531984,0.36363636363636365,0.4810456929208347,0.07250122642120757,0.03864254019396493,0.004306872538538615,0.0020253569443092197,1.4285714285714286,0.7284313590846836,0.055749485534138735,0.007888615226726762
PBS,conventional_clahe_unsharp,77,0,4.012987012987013,3.1312978367904383,11.441558441558442,3.5693264179328588,0.270032448649315,0.3455829216901737,6.415584415584416,4.11317379701277,2.1098572735283048,2.494395062602222,0.7142857142857143,0.7705141285294196,0.12523717806681697,0.1316541581377757,0.013683008784562788,0.021181058643986086,2.051948051948052,1.3181658242264296,0.12414414397807734,0.010287650145901484
PBS,generalized_gp_workflow,77,0,3.3376623376623376,2.7189111151742185,11.467532467532468,3.6947994887318143,0.3909415426264285,0.43172481806084406,5.701298701298701,3.685933017497583,1.9502352339543554,1.9899671405186483,1.0,0.8217814036133182,0.1929526933961756,0.16650616230615933,0.2586758481012797,0.22863385615144402,1.7142857142857142,1.0301575072754254,0.32679246291474534,0.02723047716227076
PBS,identity,77,0,3.7012987012987013,2.905726254591387,11.12987012987013,3.82524305093391,0.28431336858910167,0.35148795029771757,6.181818181818182,3.6099691430392307,2.0857160054662205,2.309421114805049,0.8441558441558441,0.7396899151115919,0.12489104182907142,0.12065954727200269,0.15697865084266246,0.1400139753299492,1.6233766233766234,0.9122394456538152,0.052472345463556606,0.007364258468944765
PBS,oracle_single_exploratory,77,0,3.3766233766233764,2.958759660446367,10.35064935064935,4.085979301351269,0.48432593987658257,0.38648957348953084,4.415584415584416,2.292566470594645,1.758357151520079,1.5312220646282553,2.0259740259740258,1.161884116693249,0.2043188017726016,0.13354261918699145,0.02205386347941262,0.0173452443021237,1.3116883116883118,0.6498699222439899,0.07112175333424514,0.007969389331999067
