candidate_id,pipeline_fingerprint,genome_json,pipeline_json,dataset,method,n_stacks,failure_count,absolute_peak_localization_error_mean,absolute_peak_localization_error_std,fwhm_mean,fwhm_std,curvature_at_peak_mean,curvature_at_peak_std,steep_slope_width_mean,steep_slope_width_std,steep_to_gradual_slope_ratio_mean,steep_to_gradual_slope_ratio_std,false_maxima_count_mean,false_maxima_count_std,noise_level_mean,noise_level_std,rrmse_under_additive_noise_mean,rrmse_under_additive_noise_std,range_around_global_maximum_mean,range_around_global_maximum_std,execution_time_per_slice_mean,execution_time_per_slice_std
gp::d9a00388a57b0641,d9a00388a57b064134cb98012b469326d73f78cae940ad8f42408c45daea8e53,"[""morph_open_close"", ""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",BMA,gp::d9a00388a57b0641,10,0,4.5,2.8372521918222215,13.0,1.0954451150103321,0.2906565158690755,0.3756572434244064,4.5,3.8794329482541645,3.374165558509451,1.8278626250493093,0.6,0.4898979485566356,0.12210729256666597,0.056855765193200736,nan,nan,1.9,0.9433981132056604,0.4971799025652996,0.07985092575185873
gp::b7c5d08ee051460f,b7c5d08ee051460ff415fce868cb62b44eee9172ae610f187b9914e9685aa854,"[""clahe_enhancement"", ""fft_highpass_filter""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",BMA,gp::b7c5d08ee051460f,10,0,4.3,2.794637722496424,13.1,0.9433981132056604,0.39130739851358537,0.31824878952499935,4.3,2.4919871588754225,1.7638952721692234,1.6310594243348815,2.3,1.1,0.14716886058756976,0.06441151010239105,nan,nan,1.9,1.1357816691600546,0.37625211532161174,0.010025712752270929
gp::2c9805a3b293675e,2c9805a3b293675ef92fcbc99ef6cfc4644c302f2cc2a4417a162888fe52fc0a,"[""histogram_equalization"", ""gaussian_blur""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",BMA,gp::2c9805a3b293675e,10,0,3.9,2.6627053911388696,13.2,0.9797958971132712,0.26708741207306386,0.3457182001900171,5.6,4.2708313008125245,2.682908666680571,1.9883524260747227,0.4,0.48989794855663565,0.11684192740608434,0.048222989984973326,nan,nan,2.1,0.9433981132056604,0.053090444286187574,0.0038300172732991214
gp::67029addad0a2d48,67029addad0a2d48883ebaab86e04b63ca3d7967b9884602dd0b90d2e4b4fef7,"[""identity""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",BMA,gp::67029addad0a2d48,10,0,4.5,2.8372521918222215,13.0,1.0954451150103321,0.29887922306681264,0.3804347691923907,4.5,3.8794329482541645,3.521487484697623,1.9066512156952335,0.5,0.5,0.11509421440464078,0.04466230728041043,nan,nan,1.8,0.8717797887081347,0.027332168164762798,0.0036068483146570207
gp::ee3b837a289c35c3,ee3b837a289c35c363853662bcaae782084513df2890e948ebffcfeb7367b911,"[""laplacian_sharpen"", ""gradient_morph"", ""clahe_enhancement""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",BMA,gp::ee3b837a289c35c3,10,0,4.5,1.746424919657298,10.6,2.1540659228538015,0.8220210632970589,0.37106759655393584,4.5,1.5,1.8911849219093888,1.094146918652097,3.3,0.9,0.3109884069991027,0.13959013659281522,nan,nan,1.1,0.3,0.18573481889158888,0.005876824665389285
gp::2284a5adf84d2df5,2284a5adf84d2df51c98858c1e52f0e36bfd2e008f55dc18808ceed6a1211f69,"[""morph_open_close""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",BMA,gp::2284a5adf84d2df5,10,0,4.5,2.8372521918222215,13.0,1.0954451150103321,0.2925712014074021,0.37705706444767934,4.5,3.8794329482541645,3.509738716088519,1.9122342595931843,0.5,0.5,0.11648079659965985,0.04637210420871223,nan,nan,1.8,0.8717797887081347,0.16620872447965668,0.006438847664193963
gp::2ce7bc222b5a2113,2ce7bc222b5a21136e67ca2153954f203e9e5ea77d37f7498d5d2a2292183cac,"[""gradient_morph"", ""morph_open_close""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",BMA,gp::2ce7bc222b5a2113,10,0,4.1,3.0805843601498726,13.1,1.0440306508910548,0.1611275658746149,0.2833833477679896,4.8,3.7629775444453557,2.345002398928381,2.1019596234130073,0.5,0.5,0.11713289831915483,0.041279459491393014,nan,nan,3.8,2.3579652245103193,0.26103437945047125,0.007075684251772783
gp::56012194ec1406e9,56012194ec1406e95cfafd004fefc4aa02ae74a86838e062536961f6d9239966,"[""morph_open_close"", ""tophat_bothat""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",BMA,gp::56012194ec1406e9,10,0,6.8,3.370459909270544,13.4,0.8,0.029454529175574506,0.07430532190797136,5.0,3.4351128074635335,1.5185378850037248,2.662026279772973,1.1,0.7,0.11501578074086216,0.051405075623605405,nan,nan,3.5,2.4596747752497685,0.45748169151400886,0.005784433909489288
gp::e46fee69cb3b7146,e46fee69cb3b714653b64b41e1405a504a1c79d786d1bdc5cfbb7ba226ae4e6a,"[""laplacian_sharpen"", ""gradient_morph"", ""gamma_correction""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",BMA,gp::e46fee69cb3b7146,10,0,4.5,1.746424919657298,11.1,2.1656407827707715,0.8170362062135947,0.3685694699271695,4.5,1.5,1.896392259503547,1.0989467399193429,3.3,0.9,0.3094487643465971,0.14429884056060313,nan,nan,1.1,0.3,0.17420144690051012,0.00903536719814962
gp::0564c739140951f0,0564c739140951f0823f0153f9e3d454bb10283f0daddb91d8d01bea39297ce6,"[""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",BMA,gp::0564c739140951f0,10,0,4.5,2.8372521918222215,13.0,1.0954451150103321,0.3010583255817493,0.38553447115228806,4.6,3.903844259188627,3.367008250511668,1.8740692941894095,0.5,0.5,0.1182343730141717,0.045399664699095746,nan,nan,1.9,0.9433981132056604,0.06172454384255356,0.004138151983562791
gp::6e9f436aebc33c80,6e9f436aebc33c803bc1d1bf25e63f0991329515d88e721097c750c98aecfec4,"[""gradient_morph"", ""clahe_enhancement""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",BMA,gp::6e9f436aebc33c80,10,0,4.5,2.80178514522438,13.2,0.9797958971132712,0.16502085746555373,0.32816168794466866,4.2,3.7894590642992836,2.678283364989536,2.2089118563427723,0.6,0.48989794855663565,0.12133312825242888,0.049907872949040026,nan,nan,3.0,2.1908902300206643,0.14938013850062687,0.0031518485104311475
gp::ade46a370df9c70c,ade46a370df9c70cc425a91315af0413108b4aa85e08fc13c0a87599608ef302,"[""tophat_bothat"", ""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",BMA,gp::ade46a370df9c70c,10,0,5.4,2.1540659228538015,9.0,3.9749213828703582,0.7007925263361323,0.4453585157550495,4.8,1.8330302779823362,2.0683362044172036,1.685303193897325,2.6,1.019803902718557,0.21705471032627238,0.11654260789437294,nan,nan,1.3,0.6403124237432849,0.3614579673781658,0.016421318311066305
gp::8b01a73fb49f8652,8b01a73fb49f865256bd8fc4150fdd19303d04b18dd3add02f581dcf4ef46bea,"[""laplacian_sharpen"", ""gradient_morph"", ""laplacian_sharpen""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",BMA,gp::8b01a73fb49f8652,10,0,4.6,1.9595917942265424,8.0,4.024922359499621,0.9743621726973151,0.2947815206430126,3.6,0.9165151389911681,2.415187753676038,1.0819715537048582,3.1,0.7,0.3110854504151948,0.19331834475537285,nan,nan,1.0,0.0,0.17446573618466832,0.007277399985418778
gp::b25a980af892a3aa,b25a980af892a3aa91f5b4ca614ee66c497a89e72202d15c19ee5f7ae7fab77a,"[""gradient_morph""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",BMA,gp::b25a980af892a3aa,10,0,4.5,2.8372521918222215,13.2,0.9797958971132712,0.25696578075493176,0.3756509781381865,4.5,3.8794329482541645,2.9975484440772404,1.9972552647973574,0.5,0.5,0.12237763127507721,0.04440919325797563,nan,nan,3.1,2.3853720883753127,0.10045978838461452,0.004663261420735149
gp::10c8876ccee212e7,10c8876ccee212e73f7c91b6e44a8fac1ffaca0a413fe3f9dc31bb48d1318df4,"[""gaussian_blur""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",BMA,gp::10c8876ccee212e7,10,0,4.5,2.8372521918222215,13.0,1.0954451150103321,0.29313893433845656,0.376427726872232,4.5,3.8794329482541645,3.4968550594322494,1.9132585054117879,0.5,0.5,0.11617575781773962,0.04582668632288438,nan,nan,1.8,0.8717797887081347,0.04106366739142686,0.0044707710097477305
