candidate_id,pipeline_fingerprint,genome_json,pipeline_json,dataset,method,n_stacks,failure_count,absolute_peak_localization_error_mean,absolute_peak_localization_error_std,fwhm_mean,fwhm_std,curvature_at_peak_mean,curvature_at_peak_std,steep_slope_width_mean,steep_slope_width_std,steep_to_gradual_slope_ratio_mean,steep_to_gradual_slope_ratio_std,false_maxima_count_mean,false_maxima_count_std,noise_level_mean,noise_level_std,rrmse_under_additive_noise_mean,rrmse_under_additive_noise_std,range_around_global_maximum_mean,range_around_global_maximum_std,execution_time_per_slice_mean,execution_time_per_slice_std
gp::10c8876ccee212e7,10c8876ccee212e73f7c91b6e44a8fac1ffaca0a413fe3f9dc31bb48d1318df4,"[""gaussian_blur""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",TBI,gp::10c8876ccee212e7,10,0,3.7,1.004987562112089,10.0,0.0,0.031057888328325532,0.03139663166478043,5.0,1.0954451150103321,0.15586360328568077,0.1530726296335097,0.5,0.806225774829855,0.31753632102031193,0.12775299133277432,nan,nan,3.1,1.5132745950421556,0.1548213121818844,0.009236756130679096
gp::e15b88129cc650a5,e15b88129cc650a55cb31b8f45685367f67257622fc229b65962b8963f3649ef,"[""gradient_morph"", ""histogram_equalization"", ""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",TBI,gp::e15b88129cc650a5,10,0,1.9,1.57797338380595,5.6,2.3748684174075834,0.8753673758976929,0.5072334489567277,3.6,1.5620499351813308,2.1735694472045006,0.9679412883733315,1.6,0.66332495807108,0.43503688932296625,0.20338004656688896,nan,nan,1.0,0.0,0.19633552788873204,0.01242554309876519
gp::42bbeb0c0eaba685,42bbeb0c0eaba6856226e781a890c72b41221f721150da26dc753d75d4ba54fb,"[""fft_highpass_filter"", ""gaussian_blur"", ""histogram_equalization""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",TBI,gp::42bbeb0c0eaba685,10,0,0.8,0.4,2.5,1.3601470508735443,1.107194960769295,0.2621836510033963,4.7,1.5524174696260025,3.929241670955286,2.242507710403996,1.1,0.5385164807134505,0.31907422409402697,0.12030818564215233,nan,nan,1.0,0.0,0.421024463941576,0.007064223851802098
gp::dc359c6871a5e1ba,dc359c6871a5e1ba36317755504034a373ebf1277c90460a3fdbd441938bf744,"[""median_filter"", ""fft_highpass_filter""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",TBI,gp::dc359c6871a5e1ba,10,0,2.5,1.02469507659596,7.4,2.576819745345025,0.6997646695142062,0.4495756808307726,3.1,1.3,1.3603922029813629,0.8683578220749133,2.0,0.6324555320336759,0.5264857365847452,0.28340189579017344,nan,nan,1.1,0.3,0.3767263463011477,0.007924781057921128
gp::48e0ce21f4278c52,48e0ce21f4278c52d9948230439b71a93a5e79fc886fcfcf1f0e5fe61408bef2,"[""fft_highpass_filter"", ""gaussian_blur"", ""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",TBI,gp::48e0ce21f4278c52,10,0,2.2,1.2489995996796797,8.6,1.854723699099141,0.8430367722057655,0.5690230921637178,3.1,1.044030650891055,2.5172950173267696,2.7205396589866617,1.8,0.6000000000000001,0.5812183549094054,0.1908846953812272,nan,nan,1.0,0.0,0.4398176261875779,0.007165402292685719
gp::4242be7e94f7d9c2,4242be7e94f7d9c2fe02d74cc0ddf00ea0ff6fac141d56ccc34d6fb3d675b065,"[""dog_filter"", ""median_filter"", ""fft_highpass_filter""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",TBI,gp::4242be7e94f7d9c2,10,0,2.8,0.9797958971132713,8.6,1.42828568570857,0.7224579464064402,0.5692455497174185,3.1,1.2206555615733703,1.4696661553794923,1.209422287695616,1.8,1.0770329614269007,0.6218594064858495,0.3519874695500379,nan,nan,1.2,0.4,0.45289430342614645,0.007431706601532146
gp::c922c86fc4a19e18,c922c86fc4a19e18f485d0d38875cdd8f4e2cbc337093d360997e7261e4618bb,"[""fft_highpass_filter""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",TBI,gp::c922c86fc4a19e18,10,0,2.0,1.2649110640673518,7.9,2.6999999999999997,0.9917187956667591,0.5954987603026373,3.1,1.044030650891055,2.4427673938808097,1.5740844219838166,1.7,0.7810249675906654,0.5794640939227911,0.20114532505892,nan,nan,1.0,0.0,0.35370632321108136,0.008374014042392663
gp::0564c739140951f0,0564c739140951f0823f0153f9e3d454bb10283f0daddb91d8d01bea39297ce6,"[""unsharp_mask""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",TBI,gp::0564c739140951f0,10,0,2.0,1.5491933384829668,7.8,2.227105745132009,0.6262872686610885,0.5301282630316285,3.2,1.32664991614216,1.475159568899527,0.8536567037842565,1.7,0.6403124237432849,0.495292149932992,0.25227426862796043,nan,nan,1.2,0.4,0.06898493392858655,0.004026438743505863
gp::1782e91ea463656e,1782e91ea463656ef118baf974dc46e5bfe2329597f378787979926c2d5e438a,"[""fft_highpass_filter"", ""gaussian_blur"", ""laplacian_sharpen""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",TBI,gp::1782e91ea463656e,10,0,2.6,1.3564659966250538,7.9,2.3,1.0003925263391547,0.6457590212708203,2.8,1.4000000000000001,2.4347735899505,1.5470579347984665,1.9,0.7,0.7173630366946778,0.3981354043811024,nan,nan,1.0,0.0,0.41886723927222186,0.009597077364321561
gp::67029addad0a2d48,67029addad0a2d48883ebaab86e04b63ca3d7967b9884602dd0b90d2e4b4fef7,"[""identity""]","{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",TBI,gp::67029addad0a2d48,10,0,3.7,1.1874342087037917,10.0,0.0,0.05910027380412519,0.0544119844125447,4.8,1.2489995996796797,0.24068305151363675,0.20287330060408798,0.7,0.7810249675906655,0.307648038212721,0.1401806439485147,nan,nan,2.1,0.7000000000000001,0.02936938287108205,0.002929864407781772
