method,weighted_mean,weighted_std,value_generalization_score,dataset_weighting_mode,alpha,final_rank
single::clahe_enhancement,0.2861620011894864,0.07745239828346459,0.22354912031767987,equal_dataset,0.7,1
single::ssr,0.31797131453931154,0.03123962842023223,0.23195180870358775,equal_dataset,0.7,2
single::unsharp_mask,0.33912604454969353,0.04659701360242988,0.2513673352655144,equal_dataset,0.7,3
conventional_clahe_unsharp,0.3157134545191918,0.10551036573719606,0.2526525278845931,equal_dataset,0.7,4
single::histogram_equalization,0.3050483669533372,0.14434996077366372,0.25683884509943516,equal_dataset,0.7,5
single::laplacian_sharpen,0.33658891793722767,0.0733362326683604,0.2576131123565675,equal_dataset,0.7,6
single::dog_filter,0.382713341858316,0.04482164152245683,0.2813458317575583,equal_dataset,0.7,7
single::msr,0.39590911852449795,0.04118572265237453,0.2894920997628609,equal_dataset,0.7,8
single::gamma_correction,0.38375003996356843,0.08788187553122868,0.2949895906338665,equal_dataset,0.7,9
identity,0.3836132711738706,0.08857665629424552,0.29510228670998306,equal_dataset,0.7,10
single::fft_highpass_filter,0.41238464010284714,0.1120459025089637,0.3222830188246821,equal_dataset,0.7,11
single::median_filter,0.42807286227301666,0.11359306760093803,0.333728923871393,equal_dataset,0.7,12
single::bilateral_filter,0.4244422441117656,0.1286008264325729,0.3356898188080078,equal_dataset,0.7,13
single::gradient_morph,0.45632052377685467,0.07026549240984016,0.3405040143667503,equal_dataset,0.7,14
single::gaussian_blur,0.44167440099868444,0.10593370203388647,0.34095219130924503,equal_dataset,0.7,15
single::nlm_denoising,0.43110901916612265,0.14378052757320572,0.34491047168824757,equal_dataset,0.7,16
single::morph_open_close,0.44480189413228804,0.12300120788025178,0.34826168825667714,equal_dataset,0.7,17
single::tophat_bothat,0.4992646950644897,0.10322131750916111,0.38045168179789113,equal_dataset,0.7,18
