method,mean_rank,ci_low,ci_high
single::laplacian_sharpen,7.19,5.49,8.93
single::histogram_equalization,7.64,6.09,9.350249999999999
single::clahe_enhancement,8.43,7.249750000000001,9.6
conventional_clahe_unsharp,8.39,6.939750000000001,9.870249999999999
single::dog_filter,8.38,6.849500000000001,9.99
identity,9.42,8.389750000000001,10.47
single::unsharp_mask,9.15,7.84975,10.42025
single::gamma_correction,9.66,8.65,10.610249999999999
single::ssr,9.4,7.979750000000001,10.84
single::median_filter,9.87,8.67,11.040249999999999
single::fft_highpass_filter,9.83,8.34,11.260499999999997
single::bilateral_filter,9.75,8.26,11.25
single::msr,9.49,7.84,11.13025
single::gaussian_blur,10.19,8.959750000000001,11.38
single::nlm_denoising,9.83,8.18,11.53
single::morph_open_close,10.94,9.67,12.200249999999999
single::gradient_morph,11.39,10.08,12.62
single::tophat_bothat,12.05,10.76,13.4
